epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.103,1.95808,3.66708,1.82713,0.3905,0.44592,0.36176,0.15789,1.99468,2.04964,1.78332,0.000277091,0.000277091,0.000277091
2,329.835,1.89775,2.09971,1.78033,0.62765,0.37532,0.44647,0.20176,1.9334,1.94356,1.75232,0.000543773,0.000543773,0.000543773
3,488.914,1.90357,2.04375,1.80465,0.48458,0.46138,0.45763,0.19872,1.84723,1.87755,1.73879,0.00079946,0.00079946,0.00079946
4,648.302,1.87221,1.93615,1.75575,0.57688,0.60122,0.60409,0.32178,1.7252,1.68777,1.62723,0.00078352,0.00078352,0.00078352
5,806.042,1.81601,1.81133,1.71132,0.56947,0.61025,0.60471,0.31533,1.71344,1.63389,1.63106,0.000767026,0.000767026,0.000767026
6,963.999,1.78387,1.73244,1.68953,0.67463,0.51566,0.57149,0.26509,1.76586,1.6278,1.62526,0.000750533,0.000750533,0.000750533
7,1121.23,1.73644,1.63953,1.64988,0.65166,0.64501,0.66139,0.33124,1.73939,1.42829,1.60857,0.00073404,0.00073404,0.00073404
8,1278.56,1.70926,1.57985,1.62308,0.74653,0.63879,0.70236,0.37857,1.59399,1.34212,1.53174,0.000717546,0.000717546,0.000717546
9,1437.22,1.68829,1.53491,1.60648,0.61988,0.67308,0.6708,0.35884,1.59704,1.38038,1.52871,0.000701053,0.000701053,0.000701053
10,1595.22,1.66371,1.47272,1.58209,0.73375,0.70354,0.73653,0.3865,1.65136,1.30776,1.55669,0.000684559,0.000684559,0.000684559
11,1753.79,1.63818,1.41764,1.56466,0.73918,0.72524,0.75459,0.42234,1.54742,1.23078,1.4769,0.000668066,0.000668066,0.000668066
12,1910.34,1.61574,1.39067,1.55051,0.70395,0.74776,0.75475,0.40139,1.64875,1.22557,1.5296,0.000651573,0.000651573,0.000651573
13,2066.79,1.61149,1.36591,1.55814,0.72715,0.72362,0.7497,0.39571,1.62307,1.21787,1.52288,0.000635079,0.000635079,0.000635079
14,2224.07,1.58735,1.31401,1.52472,0.7582,0.74527,0.77253,0.44547,1.51186,1.1655,1.44469,0.000618586,0.000618586,0.000618586
15,2379.93,1.57315,1.27564,1.52221,0.77875,0.73008,0.78668,0.42749,1.67554,1.13533,1.52063,0.000602092,0.000602092,0.000602092
16,2535.76,1.55474,1.26106,1.50424,0.76975,0.67895,0.76104,0.42311,1.55447,1.17643,1.47107,0.000585599,0.000585599,0.000585599
17,2690.54,1.53815,1.21677,1.49074,0.75058,0.74697,0.78176,0.44822,1.5007,1.11652,1.44906,0.000569106,0.000569106,0.000569106
18,2846.47,1.52031,1.18753,1.48412,0.7839,0.70773,0.7772,0.43355,1.59302,1.12556,1.4743,0.000552612,0.000552612,0.000552612
19,3001.38,1.50563,1.15705,1.4654,0.76693,0.71899,0.78244,0.47349,1.46458,1.11528,1.42459,0.000536119,0.000536119,0.000536119
20,3158.29,1.49284,1.13144,1.46035,0.7618,0.71978,0.7844,0.45788,1.51593,1.08839,1.436,0.000519625,0.000519625,0.000519625
21,3312.91,1.47516,1.131,1.45531,0.77797,0.75885,0.80077,0.48592,1.48362,1.03844,1.44028,0.000503132,0.000503132,0.000503132
22,3472.43,1.47434,1.10476,1.44965,0.80413,0.7461,0.79592,0.47929,1.43903,1.02259,1.41619,0.000486639,0.000486639,0.000486639
23,3630.03,1.44991,1.07681,1.4373,0.79482,0.71361,0.78013,0.46235,1.46211,1.03556,1.41551,0.000470145,0.000470145,0.000470145
24,3786.12,1.43595,1.04797,1.42549,0.78128,0.79133,0.82316,0.49959,1.46058,0.95761,1.42375,0.000453652,0.000453652,0.000453652
25,3941.71,1.41279,1.02678,1.41194,0.78747,0.71076,0.77062,0.45343,1.49102,1.04097,1.43423,0.000437158,0.000437158,0.000437158
26,4096.64,1.41242,1.01815,1.41397,0.8202,0.73492,0.78599,0.48307,1.44538,1.03725,1.41206,0.000420665,0.000420665,0.000420665
27,4252.97,1.38871,1.00724,1.39342,0.78829,0.77048,0.8163,0.48669,1.4797,0.98798,1.42067,0.000404172,0.000404172,0.000404172
28,4408.26,1.38749,0.97466,1.38925,0.80218,0.74202,0.80412,0.49015,1.44677,1.01202,1.41194,0.000387678,0.000387678,0.000387678
29,4563.82,1.3654,0.95226,1.37642,0.80273,0.75362,0.81834,0.4964,1.45401,0.96965,1.42889,0.000371185,0.000371185,0.000371185
30,4719,1.3499,0.94079,1.36875,0.79142,0.73999,0.80467,0.49601,1.453,0.99002,1.42997,0.000354691,0.000354691,0.000354691
31,4875.01,1.34158,0.92447,1.35435,0.7912,0.75943,0.81209,0.49803,1.46398,0.97959,1.43429,0.000338198,0.000338198,0.000338198
32,5030.77,1.3345,0.91324,1.35506,0.77997,0.77122,0.81765,0.49476,1.45972,0.94697,1.42352,0.000321705,0.000321705,0.000321705
33,5186.93,1.32335,0.89292,1.34836,0.81987,0.72689,0.79682,0.49239,1.47308,0.99176,1.43863,0.000305211,0.000305211,0.000305211
34,5342.22,1.3021,0.88412,1.33459,0.80765,0.76479,0.81544,0.50167,1.43429,0.96533,1.43257,0.000288718,0.000288718,0.000288718
35,5497.74,1.28409,0.85707,1.32958,0.80679,0.78078,0.8145,0.49632,1.47833,0.95224,1.44528,0.000272224,0.000272224,0.000272224
36,5653,1.27982,0.85261,1.32533,0.75417,0.79469,0.81472,0.50339,1.45384,0.96092,1.43279,0.000255731,0.000255731,0.000255731
37,5808.11,1.27209,0.8438,1.32088,0.82266,0.77188,0.81709,0.50984,1.4492,0.93961,1.43905,0.000239238,0.000239238,0.000239238
38,5965.22,1.25941,0.82199,1.31296,0.81742,0.73509,0.80546,0.48876,1.45795,0.95254,1.4354,0.000222744,0.000222744,0.000222744
39,6121.55,1.24622,0.80853,1.29522,0.78175,0.78796,0.81954,0.50146,1.44571,0.94053,1.43083,0.000206251,0.000206251,0.000206251
40,6277.5,1.22255,0.79653,1.28965,0.81176,0.7533,0.81351,0.50341,1.44112,0.94491,1.44169,0.000189757,0.000189757,0.000189757
41,6432.57,1.206,0.651,1.3451,0.79739,0.77193,0.82215,0.49031,1.4354,0.934,1.43509,0.000173264,0.000173264,0.000173264
42,6584.76,1.18332,0.63049,1.33389,0.81039,0.77365,0.82539,0.50211,1.44439,0.92022,1.44434,0.000156771,0.000156771,0.000156771
43,6737.32,1.15218,0.61183,1.3092,0.80226,0.75865,0.8261,0.51407,1.43748,0.91618,1.4398,0.000140277,0.000140277,0.000140277
44,6890.23,1.13541,0.60401,1.29662,0.7879,0.79514,0.82134,0.51435,1.43328,0.93829,1.45101,0.000123784,0.000123784,0.000123784
45,7043.09,1.11709,0.5949,1.28589,0.78345,0.80571,0.82699,0.52194,1.415,0.92061,1.44275,0.00010729,0.00010729,0.00010729
46,7194.77,1.11131,0.58388,1.28433,0.77517,0.80406,0.8313,0.5204,1.40887,0.92022,1.43745,9.0797e-05,9.0797e-05,9.0797e-05
47,7345.83,1.09173,0.57232,1.26517,0.78528,0.78785,0.82244,0.51776,1.42755,0.91222,1.45554,7.43036e-05,7.43036e-05,7.43036e-05
48,7497.7,1.07363,0.56087,1.25946,0.78375,0.80182,0.82077,0.52096,1.4291,0.8989,1.45985,5.78102e-05,5.78102e-05,5.78102e-05
49,7649.29,1.05725,0.55073,1.24581,0.78546,0.78974,0.81665,0.5178,1.42229,0.89135,1.45921,4.13168e-05,4.13168e-05,4.13168e-05
50,7800.71,1.05598,0.54266,1.24265,0.79012,0.80323,0.82742,0.52263,1.42444,0.88401,1.46032,2.48234e-05,2.48234e-05,2.48234e-05
